Item,Serving,Calories,Protein,Carbs,Category
Chicken Breast,3.5 oz,230,22,9,protein
Salmon,3.5 oz,166,24,0,protein
Beef Sirloin,100 grams,217,20,0,protein
White Fish,1 Fillet,264,37,0,protein
Shrimp,12 pieces,140,26,2,protein
Turkey Breast,4 oz,130,27,0,protein
Cashew,1 oz,156,5,8.5,protein
Turkey Bacon,1 slice,35,2,0,protein
Asparagus,1 cup,27,3,5,veg
Green Beans,1 Cup,25,0,0,veg
Lettuce,1 Cup Shred,8,0.5,1.6,veg
Broccoli,1 Cup,40,4,8,veg
Blueberry,1 Cup,83,1,21,other
Strawberry,1 Cup,41,1,12,other
Blackberry,1 Cup,62,2,14,other
Olive Oil,1 tbsp,120,0,0,other
Avocado,1/2 medium,130,1,6,other
Walnut,1 Cup,400,5,4,other
Almond,1 Almond,7,0.26,0.24,other
Black Beans,1 Cup,218,14.5,40,beans
